이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
더 K9   터보 AWD 그랜드 마스터즈   ,차량번호 154누8426,20,44812.0,가솔린,3342.0,흰색,불가,39500000,48,1,1,1,1,1,1,1,1,1,1,1,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.03327519184732973
스토닉   디젤 프레스티지   ,차량번호 09누3223,19,83000.0,디젤,1582.0,흰색,불가,9880000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.03191796525059684
스타리아   디젤 캠핑카 -   ,차량번호 204어8073,24,8641.0,디젤,2199.0,검정색,"36개월 / 60,000km",58200000,운용,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.030954855274955163
쉐보레 이쿼녹스  디젤 프리미어,차량번호 03누6582,19,127411.0,디젤,1598.0,은색,불가,16500000,42,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.02487039545659741
쉐보레 더 뉴 아베오  터보  LT,차량번호 19너1288,18,114547.0,가솔린,1362.0,흰색,만료,4900000,27,1,1,1,1,1,1,1,1,1,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.02387398988188495
G4 렉스턴   디젤  5인승 헤리티지   ,차량번호 36마7231,18,93678.0,디젤,2157.0,검정색,불가,19700000,43,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.018229040272780092
뉴카이런  디젤  5인승 LV6,차량번호 30보2017,11,160000.0,디젤,1998.0,흰색,만료,3690000,13,1,1,1,1,1,1,1,1,1,1,1,6.0,0.0,0.0,0.0,0.0,1.0,"1,582,570",0.0,0,-1,0.01700788489626028
더 K9  AWD 플래티넘Ⅰ,차량번호 149수8283,20,52571.0,가솔린,3778.0,검정색,정보없음,28200000,49,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"622,778",-1,0.016932709001907055
뉴 에쿠스  VS460 프레스티지,차량번호 19러2727,10,210998.0,가솔린,4627.0,검정색,만료,3790000,3,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.0,2.0,"3,313,140",3.0,"1,214,358",-1,0.015939138672851256
아반떼HD  디젤 S16 프리미어,차량번호 49구4546,8,252254.0,디젤,1582.0,은색,만료,1680000,9,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,2.0,"672,970",0.0,0,-1,0.01569061191013265
르노코리아 XM3   RE 시그니처   ,차량번호 117루8455,23,20589.0,가솔린,1332.0,흰색 (클라우드 펄),"60개월 / 100,000km",19500000,77,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.015040233377986933
코란도 C  디젤  클러비 파크,차량번호 37두4872,14,144761.0,디젤,1998.0,흰색,만료,2990000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,5.0,"6,238,310",2.0,"2,888,888",-1,0.014825866811149557
슈퍼 렉스턴   디젤  RX4 브라운   ,차량번호 28우8707,12,169000.0,디젤,1998.0,검정투톤,불가,3800000,11,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.014072421071208
갤로퍼  디젤 표준형,차량번호 96러2772,1,310423.0,디젤,2476.0,진주색,불가,5500000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,3.0,"1,427,500",-1,0.013816759122010169
링컨 MKZ 2세대   에코부스트 AWD 리저브   ,차량번호 62조7872,18,39230.0,가솔린,1999.0,검정색,불가,22990000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.013151872990604729
볼보 XC90 2세대   D5 AWD R-디자인   ,차량번호 237부1833,17,134000.0,디젤,1969.0,검정색,만료,33000000,37,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.013042581725392483
아반떼 LPi 하이브리드  HDE Ⅲ어드밴스팩,차량번호 47머3706,10,170000.0,하이브리드(LPG/전기),1591.0,은색,불가,3300000,12,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,4.0,"7,074,992",3.0,"1,059,264",-1,0.012970831136061303
벤츠  1세대  300 GD   ,차량번호 49다1019,1,3019.0,디젤,2998.0,녹색,불가,95000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.012634509019094199
올 뉴 프라이드  5도어 럭셔리,차량번호 58가2540,12,75742.0,가솔린,1591.0,빨간색,만료,3290000,23,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,4.0,"3,649,048",3.0,"2,250,140",-1,0.012396638695320704
파비스 톤  극초장축 프레스티지,차량번호 85두5997,22,210000.0,디젤,6798.0,흰색,정보없음,77000000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.012177661422321098
에쿠스   JS 330 럭셔리,차량번호 09너1032,7,186583.0,가솔린,3342.0,검정색,만료,2300000,4,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,3.0,"17,672,850",2.0,"1,537,388",-1,0.010957257021605112
BMW X3 3세대  xDrive 20d M 스포츠   ,차량번호 07누2884,20,42292.0,디젤,1995.0,검정색,불가,44500000,64,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,2.0,"12,214,622",3.0,"6,263,655",-1,0.010672203364478196
아우디 Q7 2세대  55 TFSI 콰트로 프리미엄   ,차량번호 142두3741,23,35172.0,가솔린,2995.0,검정색,"60개월 / 150,000km",77500000,68,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,"7,999,130",0.0,0,-1,0.01047518202893326
렉서스 ES 7세대  300h 럭셔리 플러스   ,차량번호 129어3180,23,25845.0,가솔린 하이브리드,2487.0,흰색,"48개월 / 100,000km",50000000,78,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.010162902569093586
e-에어로타운 캠핑카,차량번호 78두0878,8,187000.0,디젤,6606.0,자주색,불가,22500000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"279,803",-1,0.010113301689849821
포터2  다용도탑차 -  ,차량번호 854조1166,17,184000.0,디젤,2497.0,흰색,불가,8600000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.009858422035986624
스타렉스 캠핑카 ,차량번호 76무3495,7,190000.0,디젤,2476.0,흰색투톤,정보없음,13990000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,1.0,"499,760",0.0,0,-1,0.0095665687924257
뉴스타렉스 캠핑카 ,차량번호 75버4997,6,190000.0,디젤,2476.0,흰색투톤,정보없음,13990000,,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.0,3.0,"7,097,694",6.0,"10,987,663",-1,0.0095665687924257
e마이티  파워게이트 -   ,차량번호 93오6258,12,291190.0,디젤,3933.0,흰색,불가,19950000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.009517099580900587
BMW  6세대  520d M 스포츠   ,차량번호 55오7008,14,151565.0,디젤,1995.0,검정색,불가,11500000,17,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.008917203998716077
NF쏘나타 트랜스폼   LPi 프리미어   ,차량번호 324노6715,9,213000.0,LPG,1998.0,흰색,불가,2000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.008534395908616035
봉고3  톤 냉장탑차 -  ,차량번호 807주2147,16,173000.0,디젤,2497.0,흰색,불가,10500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.008525787039874404
대우 알페온 CL300 프리미엄,차량번호 47마9449,11,61500.0,가솔린,2997.0,은색,불가,5900000,15,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"701,378",0.0,0,-1,0.008400490354980503
레이 EV,차량번호 29로9685,13,71345.0,전기,50.0,청옥색,만료,4990000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,1.0,"714,968",1.0,"398,453",-1,0.008003568694972178
아우디 A4 4세대   TFSI 콰트로 유로  ,차량번호 15루4014,12,108144.0,가솔린,1984.0,흰색,불가,6300000,13,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,5.0,"9,214,450",1.0,0,-1,0.007440145937961482
랜드로버 레인지로버 스포츠   V6 SC HSE 다이나믹   ,차량번호 33무9777,15,115000.0,가솔린,2995.0,남색,만료,29990000,23,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.007366882379010375
쉐보레 트래버스  V6 레드라인,차량번호 182주6765,23,19174.0,가솔린,3564.0,흰색,정보없음,42500000,76,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,2.0,"5,051,969",0.0,0,-1,0.006493532327239508
쉐보레 올란도  LPGi 다이나믹,차량번호 08무0850,16,119167.0,LPG,1998.0,회색,불가,9900000,40,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"1,629,234",2.0,"4,536,105",-1,0.006353748574266572
토요타 툰드라 2세대   V8  1794 에디션   ,차량번호 88너9468,18,156105.98,가솔린,5663.0,검정색,불가,42000000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,0,3.0,"8,849,185",-1,0.006318548738522414
벤츠  6세대  S63L AMG 4매틱 -   ,차량번호 61조4748,16,99537.0,가솔린,5461.0,흰색,불가,56900000,27,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.006296566807102757
벤츠  3세대  V250 브라부스 -   ,차량번호 345소6566,17,57500.0,디젤,2143.0,검정색,불가,63000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.006100175878974297
벤츠  3세대  SLK200 블루이피션시 -   ,차량번호 62모9781,14,132831.0,가솔린,1796.0,은색,만료,12900000,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.006100175878974297
BMW X6 2세대  xDrive 30d -  ,차량번호 57서0205,16,158000.0,디젤,2993.0,검정색,불가,27500000,27,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.00597653891754221
GM대우 구쎈  톤 슬리퍼캡 초장축,차량번호 90나2750,23,72085.0,디젤,6728.0,기타색상,정보없음,70000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.005951418372270983
미니 쿠퍼 클럽맨 2세대  SD  -   ,차량번호 317너5283,19,123000.0,디젤,1995.0,기타색상,만료,15290000,30,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.005479407014102688
포드 머스탱 6세대   GT 컨버터블    ,차량번호 237라1245,18,128168.0,가솔린,4951.0,노란색,불가,33900000,51,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.005191902845963391
벤틀리 플라잉스퍼 2세대   -   ,차량번호 163나9412,15,180000.0,가솔린,3993.0,검정투톤,불가,47990000,,1,1,1,1,1,1,1,1,1,1,1,6.0,0.0,0.0,0.0,0.0,5.0,"40,190,630",0.0,0,-1,0.005103241928132244
쉐보레 타호    다크 나이트   ,차량번호 126다1010,24,18000.0,가솔린,6162.0,흰색,"60개월 / 100,000km",30000000,할부,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"3,572,190",-1,0.005051458019200561
BMW i8  쿠페 -   ,차량번호 253어2248,16,7600.0,가솔린 하이브리드,1499.0,은색 (아이오닉 실버),불가,84500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0047855750435007545
EV3 롱레인지 GT 라인,차량번호 50주4445,25,2346.0,전기,237.0,흰색,"120개월 / 160,000km",48500000,94,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-1,0.004617460174833664
벤츠  6세대  S500L -   ,차량번호 17어0151,14,162000.0,가솔린,4663.0,검정투톤,불가,37200000,19,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0045900625511825326
EV9  GT 라인  -   ,차량번호 35어0421,25,25570.0,전기,180.0,흰색,"120개월 / 160,000km",74000000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"1,500,000",-1,0.004356807085401922
벤츠 SEL  300 SEL    ,차량번호 49다0340,1,125528.52,가솔린,2962.0,검정색,불가,23000000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0038744099180016514
GM대우 노부스 톤 4X2  극초장축 플러스,차량번호 92보7667,20,610891.0,디젤,6728.0,기타색상,정보없음,44000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,3.0,"9,073,908",-1,0.0037479918540026767
쌍용 체어맨H 뉴 클래식  500S 고급형,차량번호 49무5360,14,152671.0,가솔린,2799.0,검정색,만료,2590000,7,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"1,063,330",1.0,"2,345,904",-1,0.0034524886491128083
벤츠  9세대  E300 엘레강스   ,차량번호 47소5899,16,121000.0,가솔린,3498.0,은색,불가,13500000,19,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0032932396846621754
포드 뉴 토러스 6세대   리미티드   ,차량번호 57부8381,11,172000.0,가솔린,3496.0,검정색,불가,3200000,7,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,2.0,"2,713,610",1.0,"499,440",-1,0.003078760255640229
e마이티  톤 더블캡 장축고상 슈퍼   ,차량번호 82나1945,10,28460.0,디젤,3933.0,흰색,불가,16880000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.002829354870998665
BMW  5세대  730Ld -   ,차량번호 34모5967,13,170000.0,디젤,2993.0,검정색,불가,12500000,8,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0027902632729699555
랜드로버 디펜더  90 SVX 60주년 에디션    ,차량번호 54고7258,15,55224.0,디젤,2402.0,검정색,불가,185000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0026711940834394515
GM대우 뉴 다마스  2인승 판넬밴 슈퍼   ,차량번호 86버6275,22,64000.0,LPG,796.0,흰색,불가,7200000,81,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.002542501186041378
BMW  5세대  알피나 B5 -   ,차량번호 20조1899,8,75000.0,가솔린,4398.0,기타색상,불가,55000000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.002410433590103884
GM대우 BX 212S - ,차량번호 71보5885,14,332000.0,디젤,10964.0,빨간색,불가,18000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0023223264498836286
GM대우 BH 090 ,차량번호 75더1718,12,205000.0,디젤,5890.0,흰색투톤,정보없음,18500000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,3.0,"1,531,416",6.0,"3,863,033",-1,0.0023223264498836286
재규어 XJ  D LWB -   ,차량번호 19우0204,10,130384.0,디젤,2720.0,흰색,만료,20000000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0022335493002019016
BMW  액티브 투어러  218d 조이   ,차량번호 35나0352,17,58169.0,디젤,1995.0,흰색,불가,14500000,34,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,1.0,"4,158,560",0.0,0,-1,0.002156314616666626
크라이슬러 300C   V6 리무진 -   ,차량번호 66우4507,10,37000.0,가솔린,3518.0,기타색상,불가,50000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.001879562453361993
애스턴마틴 라피드  S  V12 -   ,차량번호 06수9580,19,50689.0,가솔린,5935.0,회색,불가,79000000,28,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,5.0,"30,183,580",0.0,0,-1,0.0013598105689965596
e-에어로타운 롱바디 34인승 자가용,차량번호 71보1050,7,140000.0,디젤,6606.0,베이지색,만료,14500000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"1,013,451",-1,0.0012814441489663753
GMC 시에라   V8 드날리   ,차량번호 87서7284,23,3753.0,가솔린,6162.0,검정색,"60개월 / 100,000km",78990000,84,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0011941937793583334
올 뉴 마이티  2톤 내로우캡 장축고상 하이슈퍼   ,차량번호 805노7535,19,383000.0,디젤,2497.0,흰색,불가,16000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0010949348716669416
볼보 S70   R   ,차량번호 64더4227,1,274132.0,가솔린,2319.0,검정색,불가,17900000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,-1,0.0009666890902936636
포텐샤   클래식  ,차량번호 08러4519,1,182000.0,가솔린,2184.0,진청색,불가,11000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.000935098228211001
프라이드 베타  4도어 GLXI,차량번호 대구27로6052,1,257500.0,가솔린,1323.0,흰색,만료,2700000,51,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"510,800",-1,0.0007684802464693403
대우 에스페로  DOHC,차량번호 40다3229,1,115000.0,가솔린,1498.0,빨간색,불가,4800000,59,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,2.0,"1,012,800",1.0,"1,037,225",-1,0.0007259869313057515
스즈키 알토라팡  G -   ,차량번호 17마5278,15,73000.0,가솔린,658.0,갈색,불가,11500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.000625744698647285
스즈키 사이드킥    -   ,차량번호 10버6842,1,208000.0,가솔린,1590.0,기타색상,불가,12000000,57,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.000625744698647285
티뷰론   DOHC -   ,차량번호 49다0859,1,171279.0,가솔린,1975.0,검정색,불가,11900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0005902350180931256
토요타 GR 야리스    -   ,차량번호 37구7288,23,5600.0,가솔린,1618.0,흰색,불가,75000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.0005328507439495517
체어맨   CM 600S   ,차량번호 08부4807,3,56000.0,가솔린,3199.0,검정색,불가,9900000,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.00042444821731748737
쏘나타2   GL   ,차량번호 05누3115,1,171000.0,가솔린,1796.0,회색 (블루),불가,5900000,48,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.00042444821731748737
사브 900   S -   ,차량번호 52소5443,1,128000.0,가솔린,1985.0,흰색,불가,7000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.00042444821731748737
프레스토   AMX   ,차량번호 32거1614,1,233000.0,가솔린,1468.0,진회색,불가,10000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.00042444821731748737
코스모스 35인승 ,차량번호 76가9439,1,258107.0,디젤,7412.0,흰색투톤,정보없음,7500000,,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.0,0.0,2.0,"2,276,640",3.0,"2,009,880",-1,0.00042444821731748737
알핀 A110   -   ,차량번호 158루5116,24,8689.0,가솔린,1798.0,흰색,정보없음,109000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,-1,0.00042444821731748737
포터2 윙바디 ,차량번호 814누9581,16,273000.0,디젤,2497.0,흰색,불가,5600000,,0,0,0,0,0,0,0,0,0,0,1,7.0,0.0,0.0,0.0,0.0,1.0,"628,602",1.0,"6,891,446",0,0.01427916250156434
포터2  윙바디    ,차량번호 88로8622,14,120870.0,디젤,2497.0,흰색,불가,9900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.01427916250156434
포터2  윙바디    ,차량번호 88로8622,14,120870.0,디젤,2497.0,흰색,불가,9900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.01427916250156434
포터2  윙바디    ,차량번호 88로8622,14,120870.0,디젤,2497.0,흰색,불가,9900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.01427916250156434
봉고3  윙바디 탑차 -  ,차량번호 95모8510,17,109000.0,디젤,2497.0,흰색,불가,12000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.011865610710073854
봉고3 윙바디 탑차,차량번호 92너0923,19,80800.0,디젤,2497.0,흰색,만료,14500000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,"695,420",5.0,"7,965,220",0,0.011865610710073854
봉고3 윙바디 탑차,차량번호 92너0923,19,80800.0,디젤,2497.0,흰색,만료,14500000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,"695,420",5.0,"7,965,220",0,0.011865610710073854
봉고3 윙바디 탑차,차량번호 92너0923,19,80800.0,디젤,2497.0,흰색,만료,14500000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,"695,420",5.0,"7,965,220",0,0.011865610710073854
봉고3 내장 탑차,차량번호 경기86배3238,18,14000.0,디젤,2497.0,빨간색,만료,18000000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,"2,165,490",0.0,0,0,0.010703319405945455
봉고3 내장 탑차,차량번호 838나1986,21,97000.0,디젤,2497.0,흰색,만료,10900000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,"357,640",5.0,"4,838,390",0,0.010703319405945455
봉고3  내장 탑차 -   ,차량번호 88가0779,21,298518.0,디젤,2497.0,흰색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.010703319405945455
봉고3 내장 탑차,차량번호 838나1986,21,97000.0,디젤,2497.0,흰색,만료,10900000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,"357,640",5.0,"4,838,390",0,0.010703319405945455
봉고3  내장 탑차 -   ,차량번호 88가0779,21,298518.0,디젤,2497.0,흰색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.010703319405945455
봉고3  내장 탑차 -   ,차량번호 88가0779,21,298518.0,디젤,2497.0,흰색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.010703319405945455
봉고3 냉동 탑차,차량번호 85가0260,10,138000.0,디젤,2902.0,흰색,불가,3800000,,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,0,0.009297196165401441
봉고3  냉동 탑차 -  ,차량번호 82머2226,15,175000.0,디젤,2497.0,흰색,만료,5900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.009297196165401441
더 뉴 봉고3 내장 탑차  1톤 플러스형,차량번호 경기83배2096,20,47514.0,디젤,2497.0,흰색,정보없음,13000000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,0.0,0,2.0,"1,538,800",0,0.007324024446617356
올 뉴 마이티  톤 윙바디 -   ,차량번호 90수7485,17,79000.0,디젤,3933.0,기타색상,불가,35000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0.003462270931188481
올 뉴 마이티 톤 윙바디 ,차량번호 803두8492,16,136754.0,디젤,3933.0,베이지색,정보없음,35000000,,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.0,1.0,"2,700,000",1.0,"950,000",0,0.003462270931188481
올 뉴 마이티 톤 윙바디 ,차량번호 803두8492,16,136754.0,디젤,3933.0,베이지색,정보없음,35000000,,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.0,0.0,1.0,"2,700,000",1.0,"950,000",0,0.003462270931188481
유니버스 익스프레스 럭셔리,차량번호 78나9035,15,310000.0,디젤,12742.0,흰색투톤,만료,39000000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"200,000",1.0,"857,020",1,0.011709176077525335
유니버스 캠핑카 -  ,차량번호 75누9262,12,385170.0,디젤,12742.0,은하늘색,불가,89500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0.011616748983223617
유니버스 캠핑카 -  ,차량번호 75누9262,12,385170.0,디젤,12742.0,은하늘색,불가,89500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0.011616748983223617
유니버스 캠핑카 -  ,차량번호 75누9262,12,385170.0,디젤,12742.0,은하늘색,불가,89500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0.011616748983223617
유니버스 익스프레스 노블   ,차량번호 73거7469,14,555747.0,디젤,12742.0,파란색,불가,38000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0.001505459492918341
제네시스 G90 1세대   터보 AWD 프리미엄 럭셔리   ,차량번호 40나1997,20,96000.0,가솔린,3342.0,검정색,만료,39000000,40,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,2,0.09312726673997858
제네시스 G90 1세대   터보 AWD 프리미엄 럭셔리   ,차량번호 164구4897,21,120267.0,가솔린,3342.0,검정색,"60개월 / 120,000km",41990000,43,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.09312726673997858
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리,차량번호 239누2538,21,96588.0,가솔린,3342.0,기타색상,"60개월 / 120,000km",46900000,49,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.09312726673997858
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리,차량번호 239누2538,21,96588.0,가솔린,3342.0,기타색상,"60개월 / 120,000km",46900000,49,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.09312726673997858
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리,차량번호 239누2538,21,96588.0,가솔린,3342.0,기타색상,"60개월 / 120,000km",46900000,49,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0.09312726673997858
제네시스 더 올 뉴 G80  터보 AWD,차량번호 148무3044,24,39338.0,가솔린,2497.0,검정색,"60개월 / 100,000km",48800000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"1,277,550",0.0,0,2,0.08871285500388496
제네시스 더 올 뉴 G80  터보 AWD,차량번호 257가9625,24,17396.0,가솔린,2497.0,흰색,"60개월 / 100,000km",55600000,,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"1,695,560",2,0.08871285500388496
